stamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,behavior
11,-2.230589833424487,1.115943909069744,0.4318129729259886,-1.494236995644354,1.830188974641226,0.7615240398591414,-0.8680436103678969,-0.5870315466975342,3.961526983595277,0.08754277870248788,-0.2196535936689237,-0.7189981924777487,2.300210251208997,-1.65482736389998,-1.587183816495631,-0.4095146825484186,-1.126431426516465,3.643699653600803,-1.135136768895066,-0.7908859805212871,1.543953869332321,0.2419720161618821,-1.11252027335533,-0.2705668319031047,-0.650721457931944,-0.6056186131077491,-0.6914411525844131,-0.6372916592589067,-0.4393954816514765,-0.1837124379558406,0.2805560344678056,0.7031311696485333,-0.7349430995588391,-1.278624748489189,-0.8090729590983803,-0.8655182945170291,-0.9540969668193601,-0.5794959241347872,-2.001204253110122,-0.8513494992095664,-1.615899463535316,-1.430592238498259,-0.7459806590797964,Open-Armed-Exp
12,-2.073350518959516,1.24581863175628,0.3814672232825584,-1.461730540349462,1.88898449471848,0.7525804930871342,-0.8599571675577657,-0.6033795446456486,3.893665333222433,0.03825572689567353,-0.2806065609739201,-0.713680317007584,1.968871935150613,-1.721127887504789,-1.524961316606569,-0.3959982027782959,-1.027673697878694,3.620196066737736,-1.103772235048117,-0.7684372348600628,1.579049396574159,0.2168312126227464,-1.140621713012777,-0.3363750997727442,-0.6055701585783471,-0.5648567484132633,-0.715424797531307,-0.6704675155479308,-0.4514093669389218,-0.2488806807524757,0.393009739817267,0.8170958342618859,-0.636140144457427,-1.164494708983037,-0.9167705384348098,-0.8094171477018027,-1.024170844129777,-0.5381731095921679,-2.028049551551182,-0.9515205469562593,-1.659438747146112,-1.475605495626794,-0.6752229401482651,Open-Armed-Exp
13,-1.958379613621747,1.365232660708711,0.3685874007593765,-1.4266898786258,1.934794108286913,0.7224481934206359,-0.842073635429838,-0.6114310665215517,3.824622801367394,-0.03144818102882647,-0.3278461501249448,-0.7114463479173525,1.651102993774875,-1.82665241432281,-1.482881559181038,-0.3969693804884692,-0.9399428527143747,3.587700408768788,-1.081448935307689,-0.7189364201132231,1.613892909264514,0.1579516004653886,-1.140042541246116,-0.3870267085672707,-0.5362000873563266,-0.5079888872755979,-0.7324211306350924,-0.6875119970535288,-0.3874404460909907,-0.3837981016155345,0.5099002471259269,0.9359368558979726,-0.5185204931814497,-1.029698380822524,-0.9500696733181505,-0.7295087482841118,-1.110908018670292,-0.513881740691381,-2.007942568399306,-1.010449233211514,-1.759694136186485,-1.600930988382668,-0.620918927289017,Open-Armed-Exp
14,-1.899734429705656,1.431223483875103,0.3974182176577772,-1.40227180349209,1.953996770093039,0.6754768324626947,-0.8199866284771241,-0.5912114938770746,3.765649130102268,-0.09895107604387618,-0.3350793458882592,-0.7099693836211861,1.446392711644378,-1.909229150241587,-1.478578897577493,-0.4100244473136341,-0.8991043412427703,3.564771211841554,-1.074955890605505,-0.6574371948112381,1.637494619297696,0.08194679502731854,-1.107441815171668,-0.4203831993554468,-0.4645450673984594,-0.4468608762205372,-0.7355717297187112,-0.6848020646234243,-0.2603367916900979,-0.5463977928167869,0.5970525588475666,1.012878345312761,-0.4258506216017501,-0.9002748254422958,-0.9266179846650293,-0.6575267671257482,-1.205626234862393,-0.5090286948225455,-1.933142149101519,-0.9967031353751009,-1.856277254668525,-1.776407418935365,-0.5975535192512172,Open-Armed-Exp
15,-1.879804954788434,1.402659180388552,0.4686856305917708,-1.389988368333801,1.935973051864289,0.617170151062328,-0.7999837429810037,-0.5433052316379076,3.731990657319767,-0.1443770767174177,-0.2910329628915475,-0.7026967171904558,1.427222703083661,-1.919386076309726,-1.519691668583079,-0.4289835134506532,-0.9240235359740149,3.57024645343686,-1.086188775140697,-0.6091011674261978,1.642511057628316,0.01649591453869073,-1.042265176709482,-0.4351243629497237,-0.4092170481647763,-0.3971098417122584,-0.7317095310811923,-0.6779545795598084,-0.09581546202941997,-0.6810325520700401,0.6162714552133703,1.015500404422495,-0.4013879642189173,-0.8029333580387965,-0.8791502705013065,-0.6127933036270425,-1.295132383881724,-0.5226988054224061,-1.805666440557532,-0.9017147854519261,-1.891107848242831,-1.944216699081682,-0.5904544993178701,Open-Armed-Exp
16,-1.865299417794594,1.257720910286217,0.5822699304209084,-1.380560531880518,1.878576902642133,0.5512593608446316,-0.7856701883739338,-0.4753955868911251,3.729702846526251,-0.1541133954231429,-0.1957755336182865,-0.6854326967134686,1.597599228094312,-1.853264979255542,-1.595830085723951,-0.4482963034435034,-0.9870563945325257,3.606361661325623,-1.10948449345041,-0.5993557295865469,1.621811918885175,-0.013273157498328,-0.9523086550726183,-0.4310810447698799,-0.3775418036582377,-0.3636220052962574,-0.7368921778879868,-0.6843112973985837,0.0773825721191603,-0.732380238248462,0.5470131959645571,0.9272226498365908,-0.4706050686127302,-0.7591192114058515,-0.8389269075007189,-0.5945806198577703,-1.368956627862274,-0.550373486669121,-1.632979510116667,-0.7399996549163183,-1.815373668105342,-2.040195484418188,-0.5658022452251981,Open-Armed-Exp
17,-1.835161888652243,1.008859275219754,0.7330610187411868,-1.363952627491067,1.79292190881605,0.4827705659590823,-0.7774275325473772,-0.386694266407414,3.747212794387079,-0.125070584349034,-0.05494046593778566,-0.6602522116398218,1.889694835916292,-1.7499635126977,-1.679690189658641,-0.4631024230492264,-1.021370670485239,3.655352626858864,-1.134215068444618,-0.6427457563319917,1.572501558978513,-0.001284179095167532,-0.8545341533488802,-0.4111156333440557,-0.366727818010413,-0.3383582050978214,-0.7645489750678391,-0.7073153958455964,0.2277914689251482,-0.6543405541081545,0.400441331994128,0.7454265012342315,-0.6302358354607647,-0.7807739825321071,-0.8345098581699527,-0.5923523319566852,-1.41880464635208,-0.581835764596278,-1.432804275262824,-0.5392179563004107,-1.609204430384069,-2.026156093300427,-0.5043361639702578,Open-Armed-Exp
18,-1.795573948632036,0.7055121197401458,0.9051219541444825,-1.339619179451313,1.698626567187246,0.4207596490574895,-0.7744615912317556,-0.265295318726709,3.763140230766267,-0.06789808123173381,0.1174945859422246,-0.6366912159490032,2.206323319932006,-1.655410334369869,-1.740619594487772,-0.4693150136224959,-0.9678725475923221,3.691363658437842,-1.151552763700607,-0.734079979925519,1.506602056132482,0.03672265754878717,-0.7687880572726136,-0.3795070855123535,-0.3707225868492352,-0.3107122509528206,-0.8138336381429361,-0.7365511393472415,0.3261588859596979,-0.4361098279345078,0.2131013252343454,0.4888424116026895,-0.8512831217174129,-0.8637237579115815,-0.8947148566637482,-0.5958518242946887,-1.434415881386576,-0.6067987427267301,-1.233635545482147,-0.3258600190905314,-1.303168921647464,-1.912004023647591,-0.4225361081949249,Open-Armed-Exp
19,-1.76898909206933,0.4205210985399922,1.078479291539935,-1.318322914594297,1.610443369887474,0.3745151169097181,-0.7758149310950202,-0.1019475851341584,3.762077100678044,-0.0007861286602755818,0.2950970032865649,-0.6268646643392045,2.47081161342255,-1.587158558335061,-1.759311068609864,-0.4666098810498769,-0.8175573671608525,3.695753873875223,-1.158971528180569,-0.8479283917168841,1.452371447579923,0.07790366247584897,-0.7090654754933758,-0.3413213325701004,-0.3848701920563858,-0.2793569690152347,-0.8690029477531535,-0.7579164626584192,0.3555845065749922,-0.1296778474212607,0.02866688063985014,0.1977146982910334,-1.08886292979761,-0.9848029136103754,-1.043033584711251,-0.5993072973486819,-1.410223742398136,-0.6245371258301015,-1.064856833966571,-0.1159207416323065,-0.9688403159256793,-1.750100515522489,-0.3578041842281889,Open-Armed-Exp
20,-1.769657139049838,0.225647618515625,1.247417047974533,-1.313883687599885,1.530046108576724,0.346215539580808,-0.7799402165596184,0.0895300135009516,3.741239069572321,0.06225439725629414,0.4442168435567777,-0.6350659022513175,2.647050460842332,-1.529077147363727,-1.732224087517499,-0.4599386522356871,-0.613117529510271,3.663405344959844,-1.159258244089976,-0.9498642617417992,1.436686788914158,0.1093700070869123,-0.6784444029176108,-0.3058488360887105,-0.405433513173617,-0.2545519885405925,-0.9119596069925029,-0.7622199121395998,0.3152996989557962,0.1645679783533309,-0.1163624496671821,-0.08509003189010883,-1.293737753255588,-1.11079484863223,-1.278291558593576,-0.6033411354049053,-1.356532822661884,-0.6428385938811865,-0.9469736325798553,0.07902670214108781,-0.6784653639287167,-1.602813751523595,-0.3326517577799162,Open-Armed-Exp
